segmentation,segment,customers,median_actual,MAE,MedianAE,RMSE,MAPE,median_APE,pct_predicted_below
IncomeQuintile,Q1 (lowest),1189,1021045.2,287907.95160313084,155687.99644131862,495871.5307938887,25.733023593595586,17.55234602598157,44.575273338940285
IncomeQuintile,Q2,1212,2458323.5,517557.0529252914,350672.22627885535,745736.8565386683,20.941588378189568,14.557283263222656,41.996699669967
IncomeQuintile,Q3,1188,3365653.26,709491.4681120879,474608.10333472025,1043923.3731214538,20.4580449934111,14.362359499305551,47.72727272727273
IncomeQuintile,Q4,1203,4415430.55,842625.6095179634,571632.2170114508,1236197.4239207534,18.496840142886082,13.38138990639958,46.38403990024938
IncomeQuintile,Q5 (highest),1178,6745854.58,1417862.2767328818,983865.6099763447,2049816.2775209819,19.46001758959194,14.764530544895107,51.44312393887945
HorizonBand,1-10 yrs,1704,3418163.45,727151.4291621756,427961.8616426843,1129228.3810942466,18.392812995680814,13.53701653186645,46.068075117370896
HorizonBand,11-20 yrs,2042,4044909.285,891469.8472815743,523660.5631367322,1485136.3807096158,18.74736691711623,13.921837797316645,49.657198824681686
HorizonBand,21-30 yrs,1262,3296925.625,726788.9552487327,438471.4119186074,1119090.5161279703,21.576480011647224,15.253816558863832,45.00792393026941
HorizonBand,31+ yrs,962,1788788.155,540273.1933419525,298553.42366252723,907266.6095861339,29.734441442478477,19.500237459415,41.891891891891895
PredictedFundQuintile,1 (lowest),1194,924035.27,225700.36877571058,138985.75058806734,389969.8169194564,25.308433266141368,17.286184519775368,41.038525963149084
PredictedFundQuintile,2,1194,2187101.355,409831.7268170462,307901.98409211054,585202.9490324045,20.359560750828894,13.563159580516917,45.97989949748744
PredictedFundQuintile,3,1194,3368777.9299999997,621611.4223018032,512450.6982402541,812394.341275787,19.986015770123128,14.961691898258575,46.56616415410385
PredictedFundQuintile,4,1194,4801846.775,875337.9921221375,643244.6972290301,1171123.7609664258,19.34393667002256,13.489813069272586,48.24120603015075
PredictedFundQuintile,5 (highest),1194,7960886.385,1633345.907872901,1236649.7268224042,2247833.733416995,20.075359264621532,15.426831851675804,50.16750418760469
