,Age,AnnualSalary,SavingsRate,RetirementAccountBalance,Retirement_Fund_Goal,YearsUntilRetirement,actual,predicted,absolute_error,absolute_percentage_error,IncomeQuintile,HorizonBand
5464,48.0,488485.89,0.1571,1930683.69,8190273.19,16.0,33066937.56,18904869.73001936,14162067.829980638,42.8284832978063,Q5 (highest),11-20 yrs
29672,51.0,306798.47,0.1103,542774.14,7998811.36,12.0,20192398.31,6890348.753976187,13302049.556023812,65.8765212126197,Q5 (highest),11-20 yrs
6891,50.0,245121.98,0.183,6601085.28,6381231.58,15.0,31085818.17,17968058.721139964,13117759.448860038,42.198533675782734,Q5 (highest),11-20 yrs
27957,53.0,162867.52,0.0825,3365188.05,3029867.9,13.0,19360723.32,9097868.651350286,10262854.668649714,53.00863247215556,Q4,11-20 yrs
10706,43.0,269675.0,0.1504,581323.73,7510592.71,20.0,21208775.51,11678454.835590092,9530320.67440991,44.93574214087152,Q5 (highest),11-20 yrs
3014,48.0,222819.72,0.1304,2290043.92,5305800.64,16.0,8871479.75,18334619.29460068,9463139.54460068,106.6692345727406,Q5 (highest),11-20 yrs
27341,45.0,204268.82,0.1837,1902511.71,5344134.52,17.0,22486208.13,13597998.249162111,8888209.880837888,39.5273842056975,Q5 (highest),11-20 yrs
13201,46.0,147562.35,0.1007,542774.14,3686987.52,17.0,11985786.73,4194190.6682624635,7791596.061737537,65.00696397538468,Q4,11-20 yrs
3735,46.0,258094.26,0.1499,3891914.88,8584193.48,17.0,23450896.17,15678150.226848613,7772745.943151388,33.14477146973521,Q5 (highest),11-20 yrs
20201,52.0,228410.84,0.151,8314207.22,3479870.26,7.0,22345442.02,14709082.107021825,7636359.912978174,34.17412779815834,Q5 (highest),1-10 yrs
