example,customer_index,actual,predicted,feature,feature_value,shap_value_log,multiplier_on_dollars
Low prediction (10th pct),12983,1055996.69,996663.8553411177,SalaryBasedContribution,4116.237975,-0.2909990760111152,0.7475163687145878
Low prediction (10th pct),12983,1055996.69,996663.8553411177,RetirementAccountBalance,187930.34,-0.2877427619357956,0.7499544842681661
Low prediction (10th pct),12983,1055996.69,996663.8553411177,EmployerPension_Yes,0.0,-0.10256676628593893,0.9025178899737801
Low prediction (10th pct),12983,1055996.69,996663.8553411177,YearsUntilRetirement,17.0,-0.0863411437640618,0.9172812530585406
Low prediction (10th pct),12983,1055996.69,996663.8553411177,EmergencyFund,5086.77,-0.0793097224023101,0.9237537728959173
Low prediction (10th pct),12983,1055996.69,996663.8553411177,Savings,16751.19,-0.06209547514637965,0.9397931556185094
Low prediction (10th pct),12983,1055996.69,996663.8553411177,AnnualSalary,44499.87,-0.0579494225132474,0.9436976760865015
Low prediction (10th pct),12983,1055996.69,996663.8553411177,InvestmentBalance,8346.87,-0.05755277468644554,0.9440720659644364
Low prediction (10th pct),12983,1055996.69,996663.8553411177,CareerStartAge,31.0,-0.04617841353530917,0.954871584977124
Low prediction (10th pct),12983,1055996.69,996663.8553411177,ExpectedAnnualReturn,0.0724,-0.0407991535707574,0.96002192756194
Low prediction (10th pct),12983,1055996.69,996663.8553411177,EmploymentStatus_Part-time,1.0,-0.0354643660553326,0.9651571259728624
Low prediction (10th pct),12983,1055996.69,996663.8553411177,RiskTolerance,46.0,-0.033943701259117935,0.9666259229280165
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,YearsUntilRetirement,2.0,-0.4698372655319272,0.6251039859706365
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,RetirementAccountBalance,1763686.02,0.3143055290302385,1.3693080359991454
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,SalaryBasedContribution,11685.363228,0.12066315102247821,1.1282448002433918
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,EmployerPension_Yes,1.0,0.08666867929346347,1.0905353029287075
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,InvestmentBalance,191867.64,0.05702971966072208,1.0586872737545443
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,Retirement_Fund_Goal,1583445.56,-0.05606851694845403,0.9454743526535614
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,RiskTolerance,50.0,-0.04268961244161748,0.9582087599921155
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,Savings,287528.78,0.030541728748777884,1.0310129120299407
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,ExpectedAnnualReturn,0.0711,-0.0299794505165566,0.9704654759078344
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,Age,61.0,0.020220725940385823,1.0204265497808191
Typical prediction (50th pct),18983,3810659.41,3429504.7063938277,EmergencyFund,31203.61,0.01872613885697407,1.0189025725819518
