feature,RMSE ($) increase,RMSE ($) sd,RMSE (log) increase,RMSE (log) sd
YearsUntilRetirement,5342227.848334013,123546.73535103313,0.44417365164539885,0.0050283976835339
RetirementAccountBalance,1946643.4308332906,39869.9664270491,0.4580354700987021,0.004753452779568823
SalaryBasedContribution,686008.2994164336,23093.233288717885,0.2823186783270299,0.005973431541078197
InvestmentBalance,222105.7869303325,12394.192767365632,0.04119212459562082,0.0016575168309022465
Savings,208549.24687650302,11046.380597781823,0.04139348322822977,0.002093618884333699
EmployerPension_Yes,107355.03443323106,8024.009801737073,0.04781827249437112,0.0016000725025184352
RiskTolerance,61155.1893921525,2674.5191459494786,0.0070073034246442845,0.0003659002018851252
ExpectedAnnualReturn,57274.148596169754,4633.269099595929,0.008482626481930971,0.0006996030793380134
EmergencyFund,55373.90420242704,9459.597173825145,0.008624341349960951,0.0008310920335551903
Retirement_Fund_Goal,28406.22306494347,4692.395682755135,0.0031835981920042334,0.0004696222409220716
Age,25443.86982327546,3115.273731795918,0.014315154497714361,0.0007250904928246624
AnnualBonus,17131.24424369475,3175.20054759378,0.00743954647070087,0.0003892096333410242
AnnualSalary,15671.165882646503,3277.0970247552655,0.006666830576646942,0.0008430984170974511
CreditScore,14224.15122396499,4078.955616123199,0.013607986672360833,0.0011770778320267592
SavingsRate,8504.03591098222,2561.6919713865223,0.00342746414364431,0.0002665231717792558
Debt,5195.275957285706,834.83984126612,0.00856586772757495,0.00061481281474991
CareerStartAge,4025.3137605904603,1896.810456339979,0.002071711954342026,0.00035991760534611207
CheckingBalance,2624.5808435335757,936.2208245624304,0.0013616150577198283,0.0004652958322331843
RealExpectedReturn,2303.2483078371033,847.0607125897587,0.0006758032932246638,0.00021418090229171973
MonthlyExpenses,2172.0472323043505,3082.232883500936,0.001360446918344288,0.0003915256084160929
EmploymentStatus_Self-employed,619.4965175763239,179.44189897204353,0.00020889316126951885,0.00010620012035425954
DebtToIncomeRatio,499.0869889579946,908.8967403751421,0.0008868262991777898,0.00019322096636344166
Education_Master,305.89604527831546,139.95077677596805,0.00022210221413578867,8.64082402539894e-05
FinancialKnowledge_Low,169.7471898457501,107.70389962300575,0.00024306519344192702,0.00011686050897453273
Education_PhD,161.23902800506912,722.3774507627718,7.542802288959538e-05,8.579151842134067e-05
FinancialKnowledge_High,131.70368045060894,123.62718263202466,0.0001757999638556662,7.473903441680871e-05
Education_College,72.21393787474372,66.17805239426208,8.910588746405268e-05,3.651401972635492e-05
EmploymentStatus_Unemployed,44.21084564197808,24.216858612269117,0.0001169057633873205,1.9641618280157802e-05
Gender_Non-binary,31.401625296892597,68.22014701755137,2.3750165571601034e-05,1.6541543042732706e-05
FinancialKnowledge_Moderate,25.891484510526062,29.908098956415287,9.058174095644134e-06,2.1306583792881e-05
OwnHouse_Yes,3.633658291050233,8.93103151898132,1.725837984597467e-05,8.666604490209548e-06
Gender_Prefer not to say,0.0,0.0,0.0,0.0
MaritalStatus_Married,-56.75636365879327,62.521037566355645,-3.0078308272324384e-05,3.873385337600505e-05
MaritalStatus_Widowed,-144.8847021368565,15.806358275631183,-1.2845282840873162e-05,2.1289594472233607e-06
MaritalStatus_Single,-176.68827613207978,114.52310635522181,-1.8777144133669267e-05,5.341244981322555e-06
NumberOfChildren,-238.079789464036,177.99494393456038,-0.00017692751946747908,7.238255795532939e-05
Gender_Male,-242.30875212796963,251.03367790721234,-4.971435186980066e-05,1.2355459087947228e-05
Education_High School,-391.5738012432354,221.12018516572007,3.388273547727527e-05,3.642839772894551e-05
MortgageBalance,-759.0836643335409,940.9111008229162,0.0008291145541576394,0.00015177568233023866
EmploymentStatus_Part-time,-1029.9697925421642,1420.2483550841714,0.001039262037616756,0.00027984419689883465
