feature,mean |SHAP| (log),mean SHAP (log),share (%)
SalaryBasedContribution,0.2795083072144489,-0.007168649747970847,20.58616534965041
RetirementAccountBalance,0.2619560100057283,-0.014518282284408853,19.293414890081063
YearsUntilRetirement,0.25810535394158635,0.025051886756085735,19.009808856217315
EmployerPension_Yes,0.10553161509065337,0.0010422530089317535,7.772546367307212
InvestmentBalance,0.07235472262751269,-0.006195983410141727,5.329023307687471
Savings,0.05514370151901492,-0.007708853115624267,4.0614082950716925
EmergencyFund,0.04786767694705239,-0.004742190277564444,3.52551923181169
RiskTolerance,0.03825949900603633,-0.0018948828175002152,2.8178639146090267
ExpectedAnnualReturn,0.03799797228144351,-0.0022378714348705066,2.798602117170965
AnnualSalary,0.023369834358168334,-0.0006904111216868171,1.7212199490088176
CreditScore,0.02272798185459821,0.0040423645706772916,1.673946642894005
Age,0.022453068338684906,0.002852242606855046,1.6536988901461669
Retirement_Fund_Goal,0.021672542256912914,0.0004597057319367937,1.5962120871984997
Debt,0.020875840527966916,0.00046029276631734433,1.5375339259306444
AnnualBonus,0.01581632440640606,0.0006879048153995454,1.1648937117428013
CareerStartAge,0.012623426078949484,-0.0001679381123575484,0.9297324259524178
SavingsRate,0.011218625408125828,-0.0008047509573544566,0.8262669540990623
MortgageBalance,0.010956996832293658,0.0003464837556737072,0.8069976551792905
MonthlyExpenses,0.00990461595840154,0.0011426878082480068,0.7294883786334204
EmploymentStatus_Part-time,0.005541191096378587,0.0008050068939596079,0.4081162283900928
CheckingBalance,0.005399428513114078,0.0030510161184867973,0.3976752221510986
RealExpectedReturn,0.004548677006254733,-7.646192881475445e-05,0.33501622154317184
NumberOfChildren,0.003610809279414019,0.00020689429118293053,0.26594099335673155
DebtToIncomeRatio,0.0023045836613677056,-0.0005323683321037615,0.16973570763540385
EmploymentStatus_Self-employed,0.0021046571828098144,0.00010579648063738315,0.15501085173976722
Education_High School,0.001156612100886107,-1.6608290517047306e-05,0.08518604756881121
EmploymentStatus_Unemployed,0.0007434820017738418,2.601898943540316e-05,0.05475845628896638
FinancialKnowledge_Low,0.0006599405622067616,1.4162174622997305e-05,0.04860551612910113
Education_Master,0.000635894853071672,0.00024139244197068766,0.04683451708747062
Education_PhD,0.0005607292327473608,0.0004654526970361326,0.04129846735776396
Education_College,0.0005526577588829691,-4.82587657371119e-05,0.04070399237688167
FinancialKnowledge_High,0.000491395934007631,-8.10506791991444e-05,0.03619197601116615
Gender_Male,0.0002709296665347722,4.332159506025006e-05,0.019954336845993213
MaritalStatus_Married,0.00023957849978546177,-2.655314233479071e-05,0.01764528095768077
FinancialKnowledge_Moderate,0.00020197136233856958,3.095485552298451e-05,0.01487546435536144
MaritalStatus_Single,0.00019129299409952936,6.6337757519890776e-06,0.014088988073407221
Gender_Non-binary,0.00012720474136504047,-6.565239888156547e-06,0.009368801468183589
OwnHouse_Yes,5.200083791151884e-05,2.857262006779404e-05,0.0038299321341657725
MaritalStatus_Widowed,1.1134189522962425e-05,-2.0869255681512863e-06,0.0008200481368097275
Gender_Prefer not to say,0.0,0.0,0.0
